lang,abbr,id,state
Assamese,A.,4,Assam
Bengali,B.,35,West Bengal
English,E.,3,Arunachal Pradesh
Gujarati,G.,12,Gujarat
Hindi,H.,10,Delhi
Kannada,Kan.,17,Karnataka
Kashmiri,Kash.,15,Jammu and Kashmir
Khasi,Kh.,23,Meghalaya
Konkani,Kon.,11,Goa
Malayalam,Mal.,18,Kerala
Manipuri,M.,22,Manipur
Marathi,Mar.,21,Maharashtra
Nepali,N.,36,Nepal
Oriya,O.,26,Orissa
Punjabi,P.,28,Punjab
Sanskrit,S.,34,Uttaranchal
Tamil,Tam.,31,Tamil Nadu
Telugu,Tel.,1,Andhra Pradesh
Urdu,U.,33,Uttar Pradesh
Scientific name,Sci.,,
Common name,Common.,,
